Car,Attractive,Quiet,Unreliable,Poorly.Built,Interesting,Sporty,Uncomfortable,Roomy,Easy.to.Service,High.Prestige,Common,Economical,Successful,Avant.garde,Poor.Value
G20,5.6,6.3,2.9,1.6,3.6,4.1,3.2,4.2,4.6,5.4,3.5,3.6,5.3,4.3,3.4
Ford_T_Bird,4,3.6,4.2,4.2,5,4.9,4,3.9,4.9,3.5,3.6,3.7,4.2,3.6,4.3
Audi_90,4.6,5.2,3.7,2.6,4,3.8,2.4,5.3,3.5,5.6,3.4,3.6,5,3.6,4.3
Toyota_Supra,5.6,4.2,2,2.1,4.3,6.2,3.7,3.5,4.9,5.3,2.9,3.2,5.5,4.9,3.5
Eagle_Talon,4,3.5,4.3,4.3,3.9,4.9,4,3.6,4.6,2.8,4.3,4.9,3.7,4.4,3.6
Honda_Prelude,5.2,5.4,3.2,2.8,3.4,5.1,3.3,3.9,5,4.7,3.9,5,5.6,3.9,2.6
Saab_900,5.3,4.8,3.7,2.8,3.4,4.3,2.8,5.1,3.8,5.7,1.9,4.3,5.3,4.7,2.9
Pontiac_Firebird,3.9,2.8,3.9,4.4,5.4,5.7,4.3,3.3,4.7,3.8,4.3,3.1,4.4,4.1,4.3
BMW_318i,5.7,5,2.3,1.8,3.3,4.1,3.5,4.3,4.1,6.4,2.8,4.3,5.9,3.7,3.3
Mercury_Capri,3.9,3.3,4,4.3,3.9,5.2,4.4,3.6,4.6,3.3,3.9,4.6,3.9,4.5,3.8
